task,feature_set,model,fold,train_seeds,test_seeds,train_rows,test_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,macro_recall,mcc,roc_auc,pr_auc,roc_auc_ovr_macro
attack_subtype,all,extra_trees,pooled,,1001-1010,,1020,0.9941176470588236,0.9941176470588236,0.994117443510156,0.9941174435101561,0.9941629752676264,0.9941176470588236,0.9911993358885507,,,0.9998947520184545
attack_subtype,all,random_forest,pooled,,1001-1010,,1020,0.9892156862745098,0.9892156862745098,0.9892145433519843,0.9892145433519843,0.9893524648567876,0.9892156862745098,0.9838930398818063,,,0.9998082468281431
attack_subtype,all,logistic,pooled,,1001-1010,,1020,0.9245098039215687,0.9245098039215686,0.9241157770632835,0.9241157770632835,0.9299787689526114,0.9245098039215686,0.8898504060581541,,,0.9865585351787773
binary_attack,all,logistic,pooled,,1001-1010,,2380,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binary_attack,all,extra_trees,pooled,,1001-1010,,2380,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
binary_attack,all,random_forest,pooled,,1001-1010,,2380,0.9991596638655462,0.9991421568627451,0.9991421568627451,0.9991596638655462,0.9991421568627451,0.9991421568627451,0.9982843137254902,0.999998197808535,0.9999971202555694,
cause_family,all,random_forest,pooled,,1001-1010,,2380,0.9978991596638656,0.9950980392156863,0.9967158682725105,0.9978939470382012,0.9983739837398374,0.9950980392156863,0.9965729381344421,,,0.9999819780853518
cause_family,all,logistic,pooled,,1001-1010,,2380,0.9974789915966387,0.9967320261437909,0.9960860944114609,0.9974814510887193,0.9954464856750039,0.9967320261437909,0.9958851913456938,,,0.9999824586697423
cause_family,all,extra_trees,pooled,,1001-1010,,2380,0.9966386554621849,0.9921568627450981,0.9947277516153697,0.9966227554782643,0.9973983665403997,0.9921568627450981,0.9945173647672805,,,0.9999884659746252
seven_class,all,extra_trees,pooled,,1001-1010,,2380,0.9852941176470589,0.9852941176470589,0.9853242045516065,0.9853242045516066,0.9854280832379937,0.9852941176470589,0.9828554857804549,,,0.9994470876585927
seven_class,all,logistic,pooled,,1001-1010,,2380,0.9815126050420168,0.9815126050420169,0.9815018401935475,0.9815018401935475,0.9818153034560202,0.9815126050420169,0.9784855865700229,,,0.99817103311913
seven_class,all,random_forest,pooled,,1001-1010,,2380,0.9773109243697479,0.977310924369748,0.9772821799814663,0.9772821799814663,0.9774790800045169,0.977310924369748,0.9735681130294449,,,0.9994459548525292
